d3mIndex,nodeID,attr1,attr2,classLabel
2,2,-7.827982471789538,-1.6583217791337177,0
7,7,4.279456640630548,0.9571850297129592,2
8,8,-1.3274504027623684,0.008863588431931045,1
19,19,-13.545621045479887,-0.6604308332123978,0
20,20,0.005196862995443037,0.0895760784069797,1
25,25,12.805465339062193,2.0728496241351397,2
32,32,6.700694700898016,1.0327298075774218,2
33,33,0.04393869786502603,0.32208416405374324,1
34,34,-5.471010592691479,0.474629440426818,1
40,40,2.2410260709159773,1.0764795097470736,2
41,41,-11.847524150670914,1.142013788928328,0
51,51,-11.344291874683814,1.0719104737233585,0
56,56,7.704712626934231,1.7633134531074293,2
60,60,-5.176851242143113,0.6208938178719828,1
62,62,2.311617767946433,-0.6049281617414856,2
75,75,2.733135834193691,0.20786846539661666,2
82,82,2.595064626244289,0.3187673206667473,2
83,83,-4.852009689978413,-1.4623618637489244,1
84,84,-0.9324440651439126,0.0483643134536148,1
88,88,-4.684202538115753,-1.2048806220947272,1
