time,value
0,1.2106
1,2.0033
2,1.7456
3,1.4758
4,0.19887
5,0.10653
6,1.0173
7,0.81743
8,0.9983299999999999
9,0.8215899999999999
10,-0.299
11,-0.67685
12,-0.68235
13,-0.96281
14,-0.9721299999999999
15,-1.0023
16,-1.0993
17,-1.0527
18,-1.2604
19,-1.3282
20,-1.3952
21,-1.548
22,-1.7076
23,-1.9473
24,-2.0773
25,-2.2287
26,-2.3157
27,-2.4765
28,-2.55
29,-2.3833
30,-2.1908
31,-2.0227
32,-1.5502
33,-1.1347
34,-0.71965
35,-0.22868000000000002
36,0.10805
37,0.32213
38,0.49458
39,0.6665
40,0.6615800000000001
41,0.63379
42,0.5583100000000001
43,0.53485
44,0.48213999999999996
45,0.3886
46,0.39941
47,0.39394
48,0.39691
49,0.42166000000000003
50,0.38075
51,0.46693
52,0.48418999999999995
53,0.46931000000000006
54,0.5586
55,0.45823
56,0.4783
57,0.47697
58,0.49255
59,0.42788000000000004
60,0.49165
61,0.41994
62,0.38064000000000003
63,0.44768
64,0.36613
65,0.32853000000000004
66,0.31534
67,0.44443999999999995
68,0.38678
69,0.35675
70,0.44368
71,0.42994
72,0.474
73,0.6372
74,0.78669
75,1.0491
76,0.87613
77,0.63469
78,0.64561
79,0.46473000000000003
80,0.46334
81,0.42436999999999997
82,0.26218
83,0.22535
84,0.34205
85,0.36436999999999997
86,0.25836
87,0.21793
88,0.2691
89,0.33819
90,0.29435
91,0.22705
92,0.40831999999999996
93,0.35725999999999997
94,0.6172
95,0.81171
