time,value
0,-0.17434000000000002
1,1.3529
2,2.6916
3,1.6637
4,1.6834
5,0.53117
6,-1.3537
7,-0.18407
8,0.45316999999999996
9,-0.1976
10,0.09404
11,0.4459
12,-0.31479
13,-1.1647
14,-0.9976299999999999
15,-1.1755
16,-1.1556
17,-1.2357
18,-1.4046
19,-1.3852
20,-1.4048
21,-1.3337
22,-1.4275
23,-1.6476
24,-1.7994
25,-1.8411
26,-1.8255
27,-1.7911
28,-1.8242
29,-2.0028
30,-2.0098
31,-1.7301
32,-1.7376
33,-1.6640000000000001
34,-1.4605
35,-1.1407
36,-0.98503
37,-0.61659
38,-0.11335
39,-0.11709000000000001
40,0.23536999999999997
41,0.42662
42,0.48868
43,0.65638
44,1.0051
45,0.91309
46,0.77286
47,0.9666
48,0.87115
49,0.7509899999999999
50,0.6988800000000001
51,0.64589
52,0.65246
53,0.6412
54,0.67783
55,0.62034
56,0.68975
57,0.67415
58,0.65612
59,0.68502
60,0.73064
61,0.6693399999999999
62,0.66356
63,0.67115
64,0.63668
65,0.7106
66,0.68416
67,0.54002
68,0.45111999999999997
69,0.5876600000000001
70,0.5055
71,0.4531
72,0.7729199999999999
73,0.89361
74,0.9026
75,0.97001
76,0.9525899999999999
77,0.6038399999999999
78,0.59555
79,0.61378
80,0.239
81,0.30505
82,0.2793
83,0.22291999999999998
84,0.014129
85,0.29555
86,0.33274000000000004
87,0.015243000000000001
88,0.31151
89,0.18322
90,0.098611
91,0.13709000000000002
92,0.13226
93,0.25321
94,0.019005
95,0.12422000000000001
