time,value
0,0.65657
1,2.4395
2,3.7687
3,2.5048
4,2.0811
5,0.58787
6,-1.0528
7,0.09187999999999999
8,0.99215
9,0.23874
10,0.20619
11,0.5542699999999999
12,-0.48057
13,-0.60856
14,-0.6312300000000001
15,-0.75098
16,-0.91056
17,-1.1746
18,-0.95276
19,-1.1740000000000002
20,-1.2249
21,-1.0881
22,-1.3026
23,-1.3779
24,-1.5876
25,-1.7172
26,-1.7042
27,-1.7736
28,-1.8052
29,-1.6336
30,-1.8505
31,-1.767
32,-1.65
33,-1.4334
34,-1.0456
35,-0.95911
36,-0.65109
37,-0.29491999999999996
38,0.085521
39,0.37742
40,0.46233
41,0.76959
42,0.90869
43,1.0654
44,1.0119
45,0.8832700000000001
46,1.1872
47,0.89356
48,0.72847
49,0.94516
50,0.5986
51,0.5562199999999999
52,0.69009
53,0.62736
54,0.59537
55,0.56439
56,0.73411
57,0.6381899999999999
58,0.51245
59,0.64747
60,0.75773
61,0.3592
62,0.59308
63,0.57324
64,0.18039000000000002
65,0.54498
66,0.33009
67,0.26131
68,0.34823000000000004
69,0.15802
70,0.20835
71,0.14473
72,0.30454000000000003
73,0.57924
74,0.58703
75,0.42328000000000005
76,0.67516
77,0.32829
78,-0.096944
79,0.044244
80,-0.12724000000000002
81,-0.11494000000000001
82,-0.28178000000000003
83,-0.14774
84,-0.28583000000000003
85,7.0281e-05
86,-0.39
87,-0.47257
88,-0.10795999999999999
89,-0.42758999999999997
90,-0.37008
91,-0.35622
92,-0.42783000000000004
93,-0.37963
94,-0.35769
95,-0.059085000000000006
