time,value
0,1.0881
1,1.564
2,1.3689
3,1.2502
4,1.4915
5,1.6826
6,1.227
7,0.34397
8,-0.33532
9,-0.72932
10,-0.9497200000000001
11,-1.0159
12,-1.0659999999999998
13,-1.1634
14,-1.2075
15,-1.2347
16,-1.3248
17,-1.3649
18,-1.3312
19,-1.3564
20,-1.3705
21,-1.3339
22,-1.3782
23,-1.3953
24,-1.401
25,-1.492
26,-1.5030000000000001
27,-1.5535
28,-1.5989
29,-1.4646
30,-1.5164
31,-1.6458
32,-1.5075
33,-1.4003
34,-1.3866
35,-1.2241
36,-1.0356
37,-0.88889
38,-0.67087
39,-0.50036
40,-0.30487
41,-0.042426
42,0.011476
43,0.10149
44,0.2584
45,0.13734000000000002
46,0.10318
47,0.25943
48,0.28884
49,0.37561
50,0.45706
51,0.24608000000000002
52,0.16706
53,0.34107
54,0.2623
55,0.22048
56,0.36496
57,0.28835
58,0.28828000000000004
59,0.40273000000000003
60,0.36496
61,0.43109
62,0.47695
63,0.34008
64,0.48675
65,0.74088
66,0.6066199999999999
67,0.64532
68,0.88256
69,0.7057399999999999
70,0.5607
71,0.53815
72,0.42586
73,0.5964
74,0.77936
75,0.7328100000000001
76,0.62376
77,0.49063
78,0.43945
79,0.25488
80,0.1975
81,0.40071999999999997
82,0.24904
83,0.20961999999999997
84,0.36496
85,0.12984
86,0.24431999999999998
87,0.58525
88,0.54764
89,1.0933
90,2.1508
91,2.3851
92,1.9939
93,1.7603
94,1.2692
95,0.3991
