time,value
0,1.3085
1,2.5327
2,2.5672
3,1.1317
4,-0.042169
5,0.55679
6,1.1342
7,0.90655
8,1.0641
9,0.48358
10,-0.3331
11,-0.30649
12,-0.64863
13,-0.79981
14,-0.81463
15,-0.8820100000000001
16,-1.0029
17,-1.2457
18,-1.2165
19,-1.2608
20,-1.6924
21,-1.6719
22,-1.8980000000000001
23,-2.1699
24,-2.1852
25,-2.4829
26,-2.4298
27,-2.4755
28,-2.2563
29,-1.925
30,-1.5829
31,-1.1123
32,-0.62868
33,-0.19759000000000002
34,0.07420299999999999
35,0.24454
36,0.51298
37,0.70515
38,0.55388
39,0.56663
40,0.7699199999999999
41,0.50184
42,0.42563
43,0.6872
44,0.50332
45,0.56407
46,0.60574
47,0.57315
48,0.61751
49,0.58575
50,0.53047
51,0.55388
52,0.69973
53,0.50942
54,0.43473999999999996
55,0.5085
56,0.45175
57,0.41138
58,0.32603000000000004
59,0.43877
60,0.34449
61,0.22102
62,0.18236
63,0.2964
64,0.19574
65,0.08223
66,0.25161999999999995
67,0.061732
68,0.11609000000000001
69,0.044929000000000004
70,0.22205999999999998
71,0.47939
72,0.48613
73,0.536
74,0.35084
75,0.26337
76,0.050237000000000004
77,-0.024589
78,-0.04024
79,-0.081722
80,0.017325
81,-0.18495999999999999
82,0.020527
83,-0.041323
84,0.050318
85,0.044883
86,-0.1315
87,-0.033368
88,0.09715399999999999
89,0.080609
90,0.41817
91,1.4757
92,2.1755
93,0.82516
94,-0.54098
95,-0.091632
