time,value
0,0.28914
1,0.43851
2,1.8579
3,3.179
4,1.9177
5,0.48448
6,-0.69042
7,-0.9761200000000001
8,0.3006
9,0.68457
10,-0.052811000000000004
11,0.035297
12,0.30537
13,-0.79471
14,-1.2263
15,-1.0703
16,-1.1958
17,-1.2413
18,-1.0606
19,-1.2571
20,-1.3205
21,-1.2959
22,-1.4024
23,-1.5844
24,-1.6821
25,-1.6731
26,-1.9534
27,-1.9779
28,-1.9078
29,-1.6603
30,-1.9669999999999999
31,-1.9353
32,-1.6468
33,-1.7517
34,-1.4279
35,-0.93966
36,-0.77476
37,-0.40596
38,-0.021662
39,0.30653
40,0.5624100000000001
41,0.60511
42,0.9206200000000001
43,0.9137
44,1.1958
45,1.0438
46,1.0235
47,1.1545
48,0.89139
49,1.0221
50,0.8441700000000001
51,0.7521899999999999
52,0.77935
53,0.68221
54,0.80309
55,0.49716000000000005
56,0.62816
57,0.66952
58,0.71511
59,0.66328
60,0.35205
61,0.45898999999999995
62,0.70632
63,0.60335
64,0.35211
65,0.23021999999999998
66,0.38732
67,0.27626999999999996
68,0.41591000000000006
69,0.61819
70,-0.06374400000000001
71,0.8462700000000001
72,0.89761
73,0.7995800000000001
74,0.89145
75,0.72313
76,1.0287
77,0.42058999999999996
78,0.30022
79,0.28448
80,-0.055719000000000005
81,0.17363
82,-0.078737
83,-0.006596800000000001
84,0.017777
85,-0.07498099999999999
86,0.061269000000000004
87,-0.09679
88,0.037139
89,-0.1307
90,-0.07875800000000001
91,0.21741999999999997
92,-0.06345
93,-0.053827
94,0.12425
95,0.20686
