time,value
0,0.48223
1,0.9868299999999999
2,1.4438
3,2.1864
4,2.5175
5,1.8787
6,1.0927
7,0.35257
8,-0.29388000000000003
9,-0.11539
10,0.32009
11,0.20484000000000002
12,0.09906000000000001
13,0.22946
14,0.24823
15,0.18642
16,-0.18923
17,-0.5396
18,-0.45737
19,-0.55986
20,-0.68034
21,-0.5312100000000001
22,-0.55707
23,-0.70829
24,-0.79252
25,-0.80892
26,-0.8925299999999999
27,-1.1835
28,-1.3929
29,-1.4238
30,-1.6533
31,-1.8564
32,-1.8704
33,-2.2614
34,-2.4536
35,-2.2074
36,-2.2578
37,-2.1794
38,-1.9633
39,-1.8399
40,-1.5236
41,-1.3562
42,-1.0187
43,-0.47368000000000005
44,-0.34465
45,-0.17376
46,0.20481999999999997
47,0.29904000000000003
48,0.3197
49,0.58914
50,0.78199
51,0.65391
52,0.6480199999999999
53,0.81655
54,0.78282
55,0.77051
56,0.8255299999999999
57,0.67838
58,0.53792
59,0.53595
60,0.5649
61,0.55415
62,0.48341999999999996
63,0.43788
64,0.4043
65,0.39576
66,0.48235
67,0.51771
68,0.47598999999999997
69,0.5385800000000001
70,0.63027
71,0.6181399999999999
72,0.6643399999999999
73,0.8647100000000001
74,1.1088
75,1.239
76,1.09
77,0.8422299999999999
78,0.9330200000000001
79,0.8937200000000001
80,0.40913
81,0.29969
82,0.35868
83,0.16955
84,0.28576
85,0.32195
86,0.033173
87,0.0068893999999999995
88,-0.057386
89,-0.30633
90,-0.067411
91,0.22519
92,0.069387
93,0.058976
94,0.2072
95,0.13315
