time,value
0,-0.19441
1,-1.1007
2,-1.3216
3,-0.81488
4,-0.34071999999999997
5,-0.38421
6,-0.6235
7,-0.6422100000000001
8,-0.55257
9,-0.58375
10,-0.67414
11,-0.70857
12,-0.7342
13,-0.7671100000000001
14,-0.74069
15,-0.69701
16,-0.7388899999999999
17,-0.84595
18,-0.90055
19,-0.88965
20,-0.88328
21,-0.9293299999999999
22,-1.0131
23,-1.1151
24,-1.2142
25,-1.2802
26,-1.2905
27,-1.2989
28,-1.4081
29,-1.5917
30,-1.6842
31,-1.6191
32,-1.5579
33,-1.6148
34,-1.6867
35,-1.6488
36,-1.5526
37,-1.4599
38,-1.3188
39,-1.1241
40,-0.9834799999999999
41,-0.9171100000000001
42,-0.76622
43,-0.4358
44,-0.062335
45,0.14745999999999998
46,0.20885
47,0.29907
48,0.4815
49,0.61784
50,0.6520100000000001
51,0.70057
52,0.8248700000000001
53,0.9215399999999999
54,0.97288
55,1.0792
56,1.1797
57,1.1044
58,0.92291
59,0.86882
60,0.92704
61,0.9267200000000001
62,0.8834299999999999
63,0.89989
64,0.89992
65,0.84429
66,0.8754799999999999
67,0.9845799999999999
68,0.9112100000000001
69,0.64469
70,0.54624
71,0.7488100000000001
72,0.9048
73,0.76475
74,0.56709
75,0.63115
76,0.91369
77,1.16
78,1.25
79,1.2581
80,1.2938
81,1.3502
82,1.3011
83,1.0883
84,0.8668299999999999
85,0.8127800000000001
86,0.85455
87,0.81905
88,0.76498
89,0.8761
90,1.0859
91,1.1447
92,1.022
93,0.9298299999999999
94,0.96388
95,1.0142
