d3mIndex,timeseries_file,label
100,0100_test_ts.csv,1
101,0101_test_ts.csv,1
102,0102_test_ts.csv,1
103,0103_test_ts.csv,1
104,0104_test_ts.csv,-1
105,0105_test_ts.csv,1
106,0106_test_ts.csv,1
107,0107_test_ts.csv,1
108,0108_test_ts.csv,1
109,0109_test_ts.csv,-1
110,0110_test_ts.csv,-1
111,0111_test_ts.csv,1
112,0112_test_ts.csv,-1
113,0113_test_ts.csv,-1
114,0114_test_ts.csv,-1
115,0115_test_ts.csv,1
116,0116_test_ts.csv,1
117,0117_test_ts.csv,1
118,0118_test_ts.csv,-1
119,0119_test_ts.csv,1
120,0120_test_ts.csv,-1
121,0121_test_ts.csv,1
122,0122_test_ts.csv,1
123,0123_test_ts.csv,1
124,0124_test_ts.csv,1
125,0125_test_ts.csv,1
126,0126_test_ts.csv,-1
127,0127_test_ts.csv,1
128,0128_test_ts.csv,-1
129,0129_test_ts.csv,1
130,0130_test_ts.csv,1
131,0131_test_ts.csv,1
132,0132_test_ts.csv,-1
133,0133_test_ts.csv,-1
134,0134_test_ts.csv,1
135,0135_test_ts.csv,1
136,0136_test_ts.csv,1
137,0137_test_ts.csv,1
138,0138_test_ts.csv,-1
139,0139_test_ts.csv,-1
140,0140_test_ts.csv,1
141,0141_test_ts.csv,1
142,0142_test_ts.csv,-1
143,0143_test_ts.csv,1
144,0144_test_ts.csv,1
145,0145_test_ts.csv,1
146,0146_test_ts.csv,1
147,0147_test_ts.csv,1
148,0148_test_ts.csv,1
149,0149_test_ts.csv,1
150,0150_test_ts.csv,1
151,0151_test_ts.csv,-1
152,0152_test_ts.csv,-1
153,0153_test_ts.csv,-1
154,0154_test_ts.csv,-1
155,0155_test_ts.csv,-1
156,0156_test_ts.csv,1
157,0157_test_ts.csv,-1
158,0158_test_ts.csv,-1
159,0159_test_ts.csv,-1
160,0160_test_ts.csv,-1
161,0161_test_ts.csv,1
162,0162_test_ts.csv,1
163,0163_test_ts.csv,-1
164,0164_test_ts.csv,-1
165,0165_test_ts.csv,-1
166,0166_test_ts.csv,1
167,0167_test_ts.csv,1
168,0168_test_ts.csv,1
169,0169_test_ts.csv,1
170,0170_test_ts.csv,1
171,0171_test_ts.csv,1
172,0172_test_ts.csv,1
173,0173_test_ts.csv,1
174,0174_test_ts.csv,1
175,0175_test_ts.csv,-1
176,0176_test_ts.csv,1
177,0177_test_ts.csv,1
178,0178_test_ts.csv,1
179,0179_test_ts.csv,1
180,0180_test_ts.csv,1
181,0181_test_ts.csv,-1
182,0182_test_ts.csv,1
183,0183_test_ts.csv,1
184,0184_test_ts.csv,-1
185,0185_test_ts.csv,-1
186,0186_test_ts.csv,-1
187,0187_test_ts.csv,-1
188,0188_test_ts.csv,1
189,0189_test_ts.csv,1
190,0190_test_ts.csv,1
191,0191_test_ts.csv,-1
192,0192_test_ts.csv,1
193,0193_test_ts.csv,1
194,0194_test_ts.csv,1
195,0195_test_ts.csv,1
196,0196_test_ts.csv,1
197,0197_test_ts.csv,-1
198,0198_test_ts.csv,-1
199,0199_test_ts.csv,1
