time,value
0,1.2215
1,3.5216
2,3.6276
3,3.077
4,2.0357
5,-0.13593
6,1.2264
7,0.74405
8,0.20938
9,0.6552100000000001
10,-0.21036999999999997
11,-0.8274299999999999
12,-1.0251
13,-1.1013
14,-1.023
15,-1.4627
16,-1.4367
17,-1.4114
18,-1.6731
19,-1.8699
20,-1.9964
21,-2.1151
22,-2.198
23,-2.053
24,-2.0658
25,-1.7572
26,-1.6556
27,-0.87854
28,-0.75573
29,-0.51665
30,0.099858
31,0.07772000000000001
32,0.41593
33,0.4242
34,0.69322
35,0.67814
36,0.47881
37,0.62166
38,0.58121
39,0.24988000000000002
40,0.41373999999999994
41,0.34924
42,0.34486
43,0.29218
44,0.41368999999999995
45,0.091295
46,0.4813
47,0.19184
48,0.32477
49,-0.05405599999999999
50,0.26275
51,0.12352
52,0.029316000000000002
53,0.040024000000000004
54,0.15409
55,0.14085999999999999
56,-0.12625
57,0.0062633
58,0.10966
59,0.031423
60,-0.032845
61,-0.0056071
62,-0.044973
63,0.033774
64,-0.030622000000000003
65,-0.0059869
66,-0.035923000000000004
67,0.023525
68,0.010006000000000001
69,0.010864
70,0.050329
71,0.046131
72,0.06747
73,0.0078069
74,0.10937000000000001
75,0.053045
76,-0.014841
77,0.28772
78,0.66468
79,0.7154
80,0.66527
81,0.7954899999999999
82,0.35689
83,0.1561
84,-0.014453
85,-0.058793
86,-0.14699
87,0.092278
88,0.0028709
89,-0.21005
90,-0.0059148000000000004
91,-0.10002
92,-0.040721
93,0.089249
94,0.09983
95,0.3192
