time,value
0,0.19768
1,0.45542
2,0.97311
3,1.936
4,2.2595
5,1.7413
6,1.1583
7,0.41823999999999995
8,-0.071605
9,-0.24125
10,-0.24348000000000003
11,-0.2639
12,-0.62166
13,-0.41872
14,-0.1885
15,-0.6231399999999999
16,-0.93579
17,-1.1178
18,-1.245
19,-1.3278
20,-1.3543
21,-1.2619
22,-1.2809
23,-1.3679
24,-1.5094
25,-1.749
26,-1.6911
27,-1.5754
28,-1.8345
29,-1.848
30,-1.7747
31,-2.0596
32,-2.1798
33,-2.0213
34,-1.7997
35,-1.5895
36,-1.4507
37,-1.2929
38,-1.0362
39,-0.72906
40,-0.41531999999999997
41,-0.20284000000000002
42,0.00030512
43,0.21511
44,0.29556
45,0.40504
46,0.4554
47,0.54208
48,0.7367600000000001
49,0.6715
50,0.63718
51,0.77935
52,0.67813
53,0.55737
54,0.63462
55,0.57044
56,0.46618999999999994
57,0.4841
58,0.46811
59,0.43415
60,0.43443999999999994
61,0.46885
62,0.43788
63,0.46474
64,0.52942
65,0.50502
66,0.5958
67,0.60665
68,0.57833
69,0.65746
70,0.66066
71,0.8042100000000001
72,0.9501700000000001
73,0.8663200000000001
74,1.0015
75,1.2668
76,1.2613
77,1.2622
78,1.1996
79,0.94306
80,0.83352
81,0.69157
82,0.41831
83,0.42601999999999995
84,0.57806
85,0.58023
86,0.48245
87,0.32556999999999997
88,0.24799000000000002
89,0.18413
90,0.050358
91,0.24199
92,0.33145
93,-0.12000999999999999
94,0.042423
95,0.34329
