time,value
0,0.65174
1,1.237
2,2.1094
3,1.4324
4,0.7867
5,-0.45946000000000004
6,-0.3633
7,-0.55752
8,-1.1959
9,-0.8249700000000001
10,-0.78617
11,-1.2287
12,-1.3206
13,-1.3831
14,-1.3137
15,-1.3089
16,-1.4952
17,-1.6645
18,-1.6580000000000001
19,-1.8051
20,-1.9127
21,-2.3295
22,-2.5095
23,-2.4365
24,-2.2523
25,-2.6019
26,-1.7742
27,-1.6681
28,-1.5599
29,-0.6604800000000001
30,-0.8737299999999999
31,-0.34851
32,-0.069974
33,-0.15228
34,-0.10985999999999999
35,0.32800999999999997
36,0.2119
37,-0.007418600000000001
38,0.38776
39,0.1401
40,0.21025
41,0.32263000000000003
42,0.44522
43,0.38708000000000004
44,0.47891000000000006
45,0.62107
46,0.57922
47,0.6996100000000001
48,0.91671
49,0.6903600000000001
50,0.78868
51,0.8763
52,0.83114
53,0.7984
54,0.74893
55,0.55055
56,0.56324
57,0.9812299999999999
58,0.46066
59,0.6244
60,0.62939
61,0.6499699999999999
62,0.37188000000000004
63,0.69082
64,0.50977
65,0.5786600000000001
66,0.44903999999999994
67,0.5017
68,0.5514600000000001
69,0.51848
70,0.47136000000000006
71,0.59086
72,0.5254800000000001
73,0.5671
74,0.60085
75,0.59997
76,0.37193000000000004
77,0.77951
78,0.81321
79,0.81717
80,0.85719
81,0.5784100000000001
82,0.7958
83,0.39816
84,0.46658
85,0.51741
86,0.35107
87,0.33965
88,0.27755
89,0.66993
90,0.39166999999999996
91,0.50668
92,-0.10257999999999999
93,0.29257
94,0.45393999999999995
95,0.38969000000000004
