time,value
0,0.50112
1,0.7291300000000001
2,0.8337399999999999
3,1.2558
4,2.0014
5,2.504
6,2.4542
7,2.2203
8,2.1224
9,1.9165
10,1.3821
11,0.73545
12,0.22086
13,-0.048817
14,0.058892999999999994
15,0.37064
16,0.35393
17,-0.05694
18,-0.27015
19,-0.030288
20,0.18392999999999998
21,0.034145999999999996
22,-0.18552000000000002
23,-0.17694000000000001
24,-0.14089000000000002
25,-0.33826999999999996
26,-0.56328
27,-0.53184
28,-0.39903
29,-0.47085
30,-0.6988800000000001
31,-0.8642200000000001
32,-0.9254399999999999
33,-0.9204100000000001
34,-0.8817799999999999
35,-0.94324
36,-1.2016
37,-1.4695
38,-1.4964
39,-1.4125
40,-1.5678
41,-1.9121
42,-1.9972
43,-1.7389
44,-1.5818
45,-1.7166
46,-1.798
47,-1.6296
48,-1.4509999999999998
49,-1.4278
50,-1.4234
51,-1.3124
52,-1.1325
53,-0.9296399999999999
54,-0.71797
55,-0.53865
56,-0.41702
57,-0.29452
58,-0.13418
59,-0.029799000000000003
60,-0.047162
61,-0.059705999999999995
62,0.087575
63,0.29596999999999996
64,0.35727
65,0.3053
66,0.35968
67,0.5363100000000001
68,0.6059899999999999
69,0.52141
70,0.49248000000000003
71,0.56384
72,0.5487
73,0.45978
74,0.5321
75,0.75308
76,0.84652
77,0.7551399999999999
78,0.69977
79,0.7367600000000001
80,0.65963
81,0.4589
82,0.42428
83,0.57515
84,0.55919
85,0.35328000000000004
86,0.35802
87,0.6058899999999999
88,0.71096
89,0.61971
90,0.56493
91,0.55611
92,0.56182
93,0.6581899999999999
94,0.63971
95,0.24261999999999997
